,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
462,anadyr,RU,64.75,177.4833,8.6,66,100,13.42,snow
463,mandalgovi,MN,45.7625,106.2708,52.18,35,52,16.15,broken clouds
464,juba,SS,4.8517,31.5825,92.39,38,88,7.49,overcast clouds
465,longyan,CN,25.1072,117.0225,68.61,77,98,1.16,overcast clouds
466,roebourne,AU,-20.7833,117.1333,87.42,65,98,17.43,overcast clouds
467,key west,US,24.5557,-81.7826,75.2,83,75,11.5,broken clouds
468,thinadhoo,MV,0.5333,72.9333,82.65,73,17,10.16,few clouds
469,iberia,US,29.9502,-91.7507,77.0,88,90,20.71,overcast clouds
470,oranjemund,NA,-28.55,16.4333,73.08,58,2,4.92,clear sky
471,robore,BO,-18.3333,-59.75,71.04,93,7,3.56,clear sky
472,warren,US,39.4334,-84.1666,59.0,82,1,6.91,clear sky
473,tres arroyos,AR,-38.3739,-60.2798,56.52,82,73,4.85,light rain
474,san patricio,US,28.017,-97.5169,73.0,100,90,6.91,fog
475,verkhoyansk,RU,67.5447,133.385,3.72,87,100,7.96,overcast clouds
476,ponta delgada,PT,37.7333,-25.6667,59.0,94,75,12.66,broken clouds
477,havelock,US,34.8791,-76.9013,64.0,95,96,1.01,overcast clouds
478,aripuana,BR,-9.1667,-60.6333,71.55,99,100,2.64,overcast clouds
479,chum phae,TH,16.5443,102.0992,92.64,37,95,4.97,overcast clouds
480,mogadishu,SO,2.0371,45.3438,86.0,66,75,8.05,light rain
481,rocha,UY,-34.4833,-54.3333,63.19,97,100,2.24,overcast clouds
482,oksfjord,NO,70.2396,22.3479,28.4,58,0,2.3,clear sky
483,boyolangu,ID,-8.1181,111.8935,83.46,77,62,4.9,broken clouds
484,plainfield,US,40.6168,-74.4173,52.0,87,90,2.51,overcast clouds
485,karpathos,GR,35.507,27.2132,55.4,33,20,26.46,few clouds
486,vaitape,PF,-16.5167,-151.75,81.93,72,100,7.92,overcast clouds
487,stabat,ID,3.761,98.4513,87.8,74,20,10.36,few clouds
488,helong,CN,42.5397,128.9972,56.01,27,5,1.63,clear sky
489,ambon,ID,-3.6954,128.1814,84.2,65,40,4.61,moderate rain
490,inongo,CD,-1.95,18.2667,79.61,71,99,5.93,overcast clouds
491,rio tuba,PH,8.5061,117.4317,81.54,77,88,10.13,moderate rain
492,vardo,NO,70.3705,31.1107,31.87,82,100,3.67,overcast clouds
493,esso,RU,55.9333,158.7,9.91,93,85,7.4,overcast clouds
494,songjianghe,CN,42.1859,127.479,53.73,29,54,8.05,broken clouds
495,kenai,US,60.5544,-151.2583,14.0,47,1,3.44,clear sky
496,mbabane,SZ,-26.3167,31.1333,68.0,83,0,6.91,clear sky
497,bud,US,39.447,-86.1758,60.01,77,100,3.36,overcast clouds
498,pontes e lacerda,BR,-15.2261,-59.3353,69.44,96,60,1.72,broken clouds
499,seddon,AU,-37.8068,144.8916,53.01,71,75,14.97,light rain
500,leninskoye,KZ,41.7589,69.3864,77.0,20,0,4.61,clear sky
501,galveston,US,29.3669,-94.9669,75.0,94,90,3.44,mist
502,bushehr,IR,28.9684,50.8385,86.0,20,0,24.16,clear sky
503,hasilpur,PK,29.7122,72.5553,99.34,6,0,8.21,clear sky
504,igarka,RU,67.4667,86.5833,33.24,96,97,20.69,overcast clouds
505,klyuchi,RU,52.2667,79.1667,47.98,49,3,16.62,clear sky
506,cabra,ES,37.4725,-4.4421,60.8,77,75,2.3,broken clouds
507,kadom,RU,54.5592,42.4675,47.08,52,94,5.97,overcast clouds
508,nanakuli,US,21.3906,-158.1547,71.01,64,1,5.75,clear sky
509,amuntai,ID,-2.4177,115.2494,89.01,60,69,1.54,moderate rain
510,stykkisholmur,IS,65.0757,-22.7297,30.38,80,59,12.06,broken clouds
511,baghdad,IQ,33.3406,44.4009,78.8,34,0,8.05,clear sky
512,molteno,ZA,-31.3968,26.3625,77.94,25,87,20.58,overcast clouds
513,tabuk,PH,17.4189,121.4443,81.34,63,81,10.0,broken clouds
514,ibra,OM,22.6906,58.5334,93.13,14,0,8.05,clear sky
515,rognan,NO,67.0953,15.3878,37.4,48,40,8.05,scattered clouds
516,haines junction,CA,60.7522,-137.5108,-2.2,50,100,11.5,overcast clouds
517,vostok,RU,46.4856,135.8833,37.15,64,41,4.29,scattered clouds
518,lovington,US,32.944,-103.3485,48.0,42,48,3.0,scattered clouds
519,sawakin,SD,19.1059,37.3321,83.79,48,0,20.15,clear sky
520,tongliao,CN,43.6125,122.2653,68.31,21,85,17.49,overcast clouds
521,ankazobe,MG,-18.3167,47.1167,75.2,57,40,10.36,scattered clouds
522,labelle,US,26.7617,-81.4384,64.99,94,90,8.05,overcast clouds
523,dinguiraye,GN,11.3,-10.7167,86.76,34,0,3.27,clear sky
524,gelemso,ET,8.8167,40.5167,81.66,24,12,11.72,few clouds
525,pangnirtung,CA,66.1451,-65.7125,10.4,92,90,4.61,light snow
526,venezuela,VE,8.0,-66.0,74.95,91,100,12.33,overcast clouds
527,aitape,PG,-3.1374,142.3475,78.94,87,100,7.83,light rain
528,moussoro,TD,13.6408,16.4901,100.29,4,28,19.13,scattered clouds
529,kawalu,ID,-7.3817,108.2082,80.35,83,75,1.59,broken clouds
530,nurota,UZ,40.5614,65.6886,78.8,18,0,9.22,clear sky
531,naze,JP,28.3667,129.4833,69.8,68,75,24.16,broken clouds
532,santa cruz,BO,-17.8,-63.1667,73.4,94,75,6.91,broken clouds
533,vila velha,BR,-20.3297,-40.2925,73.99,88,75,6.91,broken clouds
534,chapais,CA,49.7834,-74.8492,41.0,93,1,4.61,clear sky
535,cockburn town,TC,21.4612,-71.1419,74.8,62,77,14.36,broken clouds
536,sangueya,GN,10.7,-14.3667,81.45,68,66,4.07,broken clouds
537,alamosa,US,37.4695,-105.87,32.0,29,1,3.56,clear sky
538,portland,US,45.5234,-122.6762,46.99,68,100,1.99,overcast clouds
539,komsomolskiy,UZ,40.4272,71.7189,73.4,17,0,6.91,clear sky
540,siavonga,ZM,-16.5382,28.7088,80.37,50,1,1.83,clear sky
541,zhigansk,RU,66.7697,123.3711,18.95,80,5,15.08,clear sky
542,haukipudas,FI,65.1765,25.3523,33.8,69,90,12.66,overcast clouds
543,pierre,US,44.3683,-100.351,35.01,64,1,5.75,clear sky
544,inhambane,MZ,-23.865,35.3833,84.2,54,20,9.22,few clouds
545,resistencia,AR,-27.4606,-58.9839,78.01,88,0,8.05,clear sky
546,sokolac,BA,43.9397,18.8017,55.4,52,0,1.14,clear sky
547,toora-khem,RU,52.4675,96.11,39.76,54,98,8.03,light snow
548,roald,NO,62.5833,6.1333,35.6,87,75,18.41,broken clouds
549,chokwe,MZ,-24.5333,32.9833,85.98,43,16,4.12,few clouds
550,kwinana,AU,-32.25,115.7667,81.0,34,65,17.27,broken clouds
551,swellendam,ZA,-34.0226,20.4417,75.2,50,100,4.61,overcast clouds
552,lata,PT,40.1629,-8.3327,55.99,92,100,1.99,light rain
553,bose,IT,45.4612,8.0137,51.01,74,100,0.65,overcast clouds
554,huainan,CN,32.6264,116.9969,62.4,52,100,10.92,overcast clouds
555,yingcheng,CN,30.95,113.55,66.2,45,0,4.47,light rain
556,tubmanburg,LR,6.8708,-10.8172,81.93,78,83,3.27,broken clouds
557,nakusp,CA,50.2499,-117.8023,33.8,100,77,2.3,light snow
558,mananjary,MG,-21.2167,48.3333,83.77,64,90,5.75,overcast clouds
559,todos santos,MX,23.45,-110.2167,64.99,92,12,3.2,few clouds
560,barcelos,PT,41.5388,-8.6151,57.2,88,20,8.05,few clouds
561,pinyug,RU,60.251,47.7842,43.11,60,1,11.21,clear sky
562,syamzha,RU,60.0158,41.0614,43.54,72,100,14.23,overcast clouds
563,paita,PE,-5.0892,-81.1144,70.79,80,99,8.41,overcast clouds
564,luanda,AO,-8.8368,13.2343,82.4,69,75,5.75,broken clouds
565,zastron,ZA,-30.3023,27.084,75.15,23,27,6.55,scattered clouds
566,tottori,JP,35.5,134.2333,51.8,50,75,14.97,broken clouds
567,kruisfontein,ZA,-34.0033,24.7314,73.0,64,99,3.0,overcast clouds
568,maniitsoq,GL,65.4167,-52.9,31.66,98,100,5.66,light snow
569,hami,CN,42.8,93.45,68.02,18,55,11.1,broken clouds
570,altay,CN,47.8667,88.1167,50.29,31,0,3.47,clear sky
571,vao,NC,-22.6667,167.4833,75.74,92,100,17.94,moderate rain
572,pampa,US,35.5362,-100.9599,39.2,70,1,9.22,clear sky
573,la ligua,CL,-32.4524,-71.2311,53.33,90,4,0.65,clear sky
574,trhove sviny,CZ,48.8423,14.6392,59.0,33,92,5.01,overcast clouds
575,mahanoro,MG,-19.9,48.8,82.47,68,87,6.2,light rain
576,tuim,RU,54.3417,89.9261,33.91,80,100,10.04,light snow
577,lantawan,PH,10.6167,123.9833,86.0,62,75,12.66,broken clouds
578,iskateley,RU,67.6803,53.1512,35.76,82,72,25.19,broken clouds
579,merrill,US,45.1805,-89.6835,48.2,100,90,5.75,overcast clouds
580,madona,LV,56.8533,26.217,39.27,89,100,8.79,overcast clouds
581,log,RU,49.4844,43.8613,49.21,76,99,16.98,overcast clouds
582,la palma,US,33.8464,-118.0467,59.0,77,1,5.75,clear sky
583,soure,BR,-0.7167,-48.5233,78.04,84,65,8.88,broken clouds
584,chenzhou,CN,25.8,113.0333,59.65,96,100,3.87,overcast clouds
585,riviere-au-renard,CA,48.9957,-64.3971,26.6,86,1,6.91,clear sky
586,ornskoldsvik,SE,63.2909,18.7153,33.8,69,22,10.36,few clouds
587,masuguru,TZ,-11.3667,38.4167,83.1,64,61,5.57,broken clouds
588,okha,RU,53.5739,142.9478,27.61,91,31,7.52,scattered clouds
589,sebrovo,RU,50.0981,43.2976,44.01,85,99,8.99,overcast clouds
590,sangar,RU,63.9242,127.4739,22.08,93,100,3.6,light snow
591,cessnock,AU,-32.8333,151.35,66.0,66,1,4.54,clear sky
592,singaparna,ID,-7.3515,108.111,79.47,83,80,1.25,broken clouds
593,kusa,RU,55.3383,59.4406,56.44,73,95,5.32,overcast clouds
594,calafell,ES,41.2,1.5683,55.0,100,100,3.0,overcast clouds
595,wad madani,SD,14.4012,33.5199,99.91,15,7,18.23,clear sky
596,wenatchee,US,47.4235,-120.3103,46.4,49,90,18.41,overcast clouds
597,malur,IN,13.0075,77.9378,89.6,25,0,9.22,clear sky
598,ketchikan,US,55.3422,-131.6461,30.2,93,1,3.44,clear sky
599,camabatela,AO,-8.1881,15.375,68.67,83,100,4.29,light rain
600,jiaojiang,CN,28.6803,121.4428,69.01,55,33,5.01,scattered clouds
601,oxapampa,PE,-10.5775,-75.4017,56.91,93,100,3.53,overcast clouds
602,cheremukhovo,RU,60.3484,59.9851,42.58,78,100,4.38,overcast clouds
603,moerai,PF,-22.4333,-151.3333,78.78,65,100,13.8,overcast clouds
604,bauchi,NG,10.5,10.0,94.84,8,100,6.13,overcast clouds
605,buraydah,SA,26.326,43.975,84.2,26,62,11.5,broken clouds
606,ferrara,IT,44.8,11.8333,57.99,54,0,3.44,clear sky
607,xambioa,BR,-6.4111,-48.5364,72.66,88,97,1.68,overcast clouds
608,korsakovo,RU,53.2677,37.3569,46.15,41,0,4.41,clear sky
609,galesong,ID,-5.3166,119.3661,86.0,74,40,6.91,scattered clouds
610,mandali,IQ,33.7499,45.5541,95.72,7,40,17.85,scattered clouds
611,gilgit,PK,35.9221,74.3087,57.52,37,99,2.13,overcast clouds
612,salekhard,RU,66.53,66.6019,33.89,99,7,10.49,clear sky
613,daru,PG,-9.0763,143.2092,79.86,80,55,4.47,moderate rain
614,urumqi,CN,43.801,87.6005,68.0,24,75,4.47,broken clouds
615,murmashi,RU,68.8154,32.8115,37.4,70,40,8.95,scattered clouds
616,makat,KZ,47.6469,53.3463,80.44,20,1,28.57,clear sky
617,samarai,PG,-10.6167,150.6667,78.66,84,100,12.15,light rain
618,tual,ID,-5.6667,132.75,81.25,78,100,11.56,overcast clouds
619,rantoul,US,40.3084,-88.1559,53.01,93,1,5.75,clear sky
620,rio grande,BR,-32.035,-52.0986,70.0,97,88,8.84,moderate rain
621,kant,IN,27.8,79.8,102.16,4,0,14.0,clear sky
622,ustynivka,UA,47.9551,32.5367,50.0,27,40,4.47,scattered clouds
623,khandyga,RU,62.6667,135.6,24.42,78,100,9.55,overcast clouds
624,kidal,ML,18.4411,1.4078,93.85,8,0,14.03,clear sky
625,gboko,NG,7.3179,8.9951,89.22,48,68,9.98,broken clouds
626,lhokseumawe,ID,5.1801,97.1507,85.66,66,100,6.53,overcast clouds
627,cravo norte,CO,6.3017,-70.2041,74.95,89,98,9.55,light rain
628,tuzha,RU,57.6062,47.936,37.69,88,61,4.29,broken clouds
629,saint-pierre,RE,-21.3393,55.4781,84.2,65,0,6.91,moderate rain
630,jiuquan,CN,39.7432,98.5174,61.0,20,100,5.1,overcast clouds
631,kigoma,TZ,-4.8769,29.6267,77.0,69,75,9.22,moderate rain
632,miles city,US,46.4083,-105.8406,33.8,64,1,11.5,clear sky
633,chahal,GT,15.75,-89.5667,70.84,98,91,3.29,overcast clouds
634,lewisporte,CA,49.2499,-55.0482,30.2,93,90,21.85,light snow
635,san jose,US,37.3394,-121.895,48.2,71,40,4.61,scattered clouds
636,port arthur,CN,38.8,121.2667,64.4,27,0,6.71,clear sky
637,balkhash,KZ,46.844,74.9804,68.0,22,0,8.95,clear sky
638,wanaka,NZ,-44.7,169.15,57.0,93,70,4.0,moderate rain
639,dunedin,NZ,-45.8742,170.5036,59.0,94,100,4.0,overcast clouds
640,progreso,MX,21.2833,-89.6667,78.8,78,75,17.27,broken clouds
641,voyvozh,RU,62.892,54.9635,40.17,68,7,9.71,clear sky
642,grimshaw,CA,56.1834,-117.6027,34.0,93,90,13.8,light snow
643,candido mendes,BR,-1.4467,-45.7167,73.13,95,41,3.11,scattered clouds
644,shyryayeve,UA,47.3805,30.1964,50.34,34,0,3.69,clear sky
645,naryan-mar,RU,67.6713,53.087,35.89,82,75,25.05,broken clouds
646,san luis,AR,-33.295,-66.3356,56.25,98,100,10.11,overcast clouds
647,eirunepe,BR,-6.6603,-69.8736,71.55,98,100,1.23,overcast clouds
648,rosario,AR,-32.9468,-60.6393,66.2,94,90,8.05,overcast clouds
649,tigil,RU,57.8,158.6667,12.47,78,7,13.53,clear sky
650,mont-dore,NC,-22.2833,166.5833,79.0,99,100,7.43,light rain
651,rondonopolis,BR,-16.4708,-54.6356,67.78,93,5,3.78,clear sky
652,coolum beach,AU,-26.5333,153.1,77.0,83,0,5.53,clear sky
653,avera,US,33.194,-82.5271,57.2,95,1,4.61,haze
654,waipawa,NZ,-41.4122,175.5153,68.0,68,40,21.85,light rain
655,hay river,CA,60.8156,-115.7999,6.8,78,100,11.5,light snow
656,kamenka,RU,51.3223,42.7678,42.01,79,100,16.49,heavy intensity rain
657,farafangana,MG,-22.8167,47.8333,83.03,66,46,3.85,scattered clouds
658,ossora,RU,59.2353,163.0719,13.51,81,100,8.55,overcast clouds
659,constitucion,CL,-35.3333,-72.4167,50.81,82,0,5.73,clear sky
660,kloulklubed,PW,7.0419,134.2556,87.8,70,75,4.61,broken clouds
661,megion,RU,61.0296,76.1136,46.4,42,0,11.18,clear sky
662,nanortalik,GL,60.1432,-45.2371,36.18,93,100,5.53,light rain
663,maceio,BR,-9.6658,-35.7353,73.4,100,40,4.61,scattered clouds
664,aklavik,CA,68.2191,-135.0107,-18.4,69,100,2.3,overcast clouds
665,hirara,JP,24.8,125.2833,75.2,64,20,17.27,few clouds
666,dubbo,AU,-32.25,148.6167,60.8,51,19,8.05,few clouds
667,coquimbo,CL,-29.9533,-71.3436,51.8,93,0,4.61,clear sky
668,kvam,NO,61.6656,9.6898,33.67,64,6,8.5,clear sky
669,shakhty,RU,47.7091,40.2144,50.0,46,0,15.66,clear sky
670,pacific grove,US,36.6177,-121.9166,48.99,85,38,11.65,scattered clouds
671,tautira,PF,-17.7333,-149.15,78.8,73,20,1.14,light rain
672,klaksvik,FO,62.2266,-6.589,30.2,74,75,20.71,light snow
673,puerto suarez,BO,-18.95,-57.8,73.6,78,30,2.13,scattered clouds
674,talcahuano,CL,-36.7167,-73.1167,44.6,100,0,2.3,mist
675,kachug,RU,53.9606,105.8817,33.64,42,100,10.2,overcast clouds
676,poli,TZ,-3.3333,36.8,73.4,83,75,12.66,light rain
677,matay,EG,28.419,30.7792,64.9,30,1,16.2,clear sky
678,adand,HU,46.8593,18.1644,51.01,56,10,8.01,clear sky
679,kudahuvadhoo,MV,2.6708,72.8944,82.87,73,17,7.25,few clouds
680,burayevo,RU,55.8407,55.4083,40.3,99,100,5.44,overcast clouds
681,cotonou,BJ,6.3654,2.4183,84.2,84,40,4.61,scattered clouds
682,abashiri,JP,44.0213,144.2697,44.6,49,40,11.5,scattered clouds
683,jaffna,LK,9.6685,80.0074,87.06,60,13,7.63,few clouds
684,sioux city,US,42.5,-96.4003,48.0,81,20,8.05,few clouds
685,puerto del rosario,ES,28.5004,-13.8627,66.2,68,20,8.05,few clouds
686,nabire,ID,-3.3667,135.4833,78.03,89,100,3.18,overcast clouds
687,aldan,RU,58.6031,125.3894,16.63,85,100,9.42,light snow
688,boralday,KZ,43.3578,76.8594,68.0,26,46,6.71,scattered clouds
689,copiapo,CL,-27.3667,-70.3333,57.2,88,90,11.5,overcast clouds
690,arima,TT,10.6333,-61.2833,78.01,88,75,4.05,broken clouds
691,grindavik,IS,63.8424,-22.4338,26.6,86,75,13.8,broken clouds
692,derzhavinsk,KZ,51.1,66.3167,36.88,98,68,13.33,broken clouds
693,malanje,AO,-9.5402,16.341,69.8,88,75,6.91,light rain
694,marsa matruh,EG,31.3525,27.2453,60.8,41,20,18.41,few clouds
695,valparaiso,CL,-33.0393,-71.6273,55.99,69,2,9.44,clear sky
696,rieti,IT,42.4072,12.8592,53.01,57,0,5.44,clear sky
